MAPID,Neighborhood,X,Y,TYPE,LOCATION,DETAILED_LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME,City,Geom
DFENG0038,Downtown,491016.6377908980,5458553.6856889800,Fountain location, Nelson & Howe,Southeast corner of Nelson & Howe,Engineering,Year Round,N,nelson_howe.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[491016.6377908984,5458553.685688989]}"
DFENG0703,Downtown,492733.8103375120,5458746.6978099400,Temporary Fountain location, Main & E Hastings,NW corner of E Hastings St and Main St,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[492733.8103375126,5458746.697809943]}"
DFENG0706,Strathcona,492883.5331401370,5458950.1670293900,Temporary Fountain location, Powell & Gore,SW corner of Powell St and Gore Ave,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[492883.53314013797,5458950.167029394]}"
DFPB0004,Kitsilano,486558.0934703830,5456496.5221268500,Fountain location, Almond Park,S-side of playground,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[486558.0934703837,5456496.522126856]}"
DFPB0008,Arbutus-Ridge,488502.8706960250,5455124.5773932700,Fountain location, Arbutus Village Park,S-side of playground,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[488502.8706960251,5455124.577393277]}"
DFPB0053,Sunset,493183.9777790860,5451085.4674072000,Fountain location, George Park,southeast corner of park,Parks,spring to fall,,George Park - drinking fountain - 2005.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[493183.9777790863,5451085.467407206]}"
DFPB0055,Grandview-Woodland,494850.2848136550,5457882.4061450400,Fountain location, Grandview Park - West of Stage,Close to the Stage,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[494850.2848136553,5457882.406145044]}"
DFPB0058,Kensington-Cedar Cottage,493814.4811562790,5454259.7986669800,Fountain location, Grays Park,front of wading pool,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[493814.48115627945,5454259.79866698]}"
DFPB0085,Marpole,491865.2751193080,5451726.5146767000,Fountain location, Langara Golf Course - servive yard,servive yard,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[491865.2751193082,5451726.514676707]}"
DFPB0097,Kerrisdale,487556.6315231570,5451980.3165515500,Fountain location, McCleery Golf Course - 5th tee,5th tee,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[487556.6315231571,5451980.316551553]}"
DFPB0101,Renfrew-Collingwood,497882.2620858720,5453750.5667103100,Fountain location, Melbourne Park,front of tennis courts,Parks,spring to fall,,Melbourne Park - drinking fountain - 2005.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[497882.2620858727,5453750.566710314]}"
DFPB0190,Mount Pleasant,492040.9361196250,5457737.2707522600,Fountain location, Park Site On South East False Creek,NE side of the park,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[492040.9361196253,5457737.270752268]}"
DFPB0126,Arbutus-Ridge,489168.8465148270,5454671.9769736800,Fountain location, Quilchena Park,W-side of fieldhouse,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[489168.846514827,5454671.976973687]}"
DFPB0127,Renfrew-Collingwood,496938.4157789110,5455494.8592547000,Fountain location, Renfrew Community Park,adjacent to wading pool,Parks,spring to fall,,Renfrew Park - drinking fountain - 2007.JPG,Vancouver,"{""type"":""Point"",""coordinates"":[496938.415778911,5455494.859254709]}"
DFPB0135,Hastings-Sunrise,497594.8096658380,5457607.9260036900,Fountain location, Rupert Park,E-side of playground,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[497594.80966583826,5457607.92600369]}"
DFPB0139,Renfrew-Collingwood,496480.3350437750,5454626.2092466300,Fountain location, Slocan Park,near playground,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[496480.33504377573,5454626.209246634]}"
DFPB0140,West Point Grey,483825.0304883070,5458338.6862537000,Fountain location, Spanish Banks Beach Park,on north wall of washrooms,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[483825.03048830735,5458338.686253703]}"
DFPB0142,Stanley Park,490499.8671422710,5461159.8097144900,Fountain location, Stanley Park - Lumbermen's Arch,Lumbermen's Arch,Parks,year-round,,,Vancouver,"{""type"":""Point"",""coordinates"":[490499.86714227183,5461159.809714498]}"
DFPB0186,Stanley Park,490247.2214671690,5460718.2258179000,Fountain location, Stanley Park - North east of Rose and Perennial Ga,,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[490247.22146716993,5460718.225817901]}"
DFPB0152,Stanley Park,489017.9861996650,5460325.1214688400,Fountain location, Stanley Park - Second Beach Pool,Second Beach pool deck,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[489017.98619966593,5460325.121468847]}"
DFPB0144,Stanley Park,489218.2593734220,5462001.1172807100,Fountain location, Stanley Park - South west of playground,Rose Garden playground,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[489218.25937342236,5462001.117280712]}"
DFPB0150,Stanley Park,491226.4857365040,5460708.5021959000,Fountain location, Stanley Park - West of Shore to Shore sculpture,Totem poles,Parks,,,,Vancouver,"{""type"":""Point"",""coordinates"":[491226.4857365044,5460708.502195905]}"
DFPB0066,West End,489962.4562384780,5458481.0378894100,Fountain location, Sunset Beach,on building wall,Parks,spring to fall,,English Bay Park - drinking fountain - 2005.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[489962.4562384787,5458481.037889417]}"
DFPB0182,West Point Grey,485075.4043850100,5457153.3321030900,Fountain location, West Point Grey Park - lawn bowling court,In lawn bowling court,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[485075.4043850109,5457153.332103099]}"
DFPB0184,Marpole,491767.4687009830,5451467.8308245100,Fountain location, Winona Park,near playground,Parks,spring to fall,,,Vancouver,"{""type"":""Point"",""coordinates"":[491767.46870098304,5451467.830824518]}"
DFENG0806,Downtown,492315.4888423350,5458500.4672476800,Temporary Misting Station location, Andy Livingston Park,NW corner of Andy Livingston Park,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[492315.488842335,5458500.467247681]}"
DFENG0802,West End,490365.4082161290,5459641.4853485800,Temporary Misting Station location, Robson & Cardero,SW corner of Robson St & Cardero St,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[490365.4082161299,5459641.485348581]}"
DFENG0808,Kerrisdale,488669.5880287750,5453122.4457190300,Temporary Misting Station location, West Blvd & W 45th,SE corner of West Boulevard & W 45th Ave,Engineering,May-October,N,,Vancouver,"{""type"":""Point"",""coordinates"":[488669.588028775,5453122.445719039]}"
DFENG0500,Fairview,490839.5398663360,5457071.9709784800,Bottle Filling Station location,  Charleson Park Pumping Station,North side of sewage pumping station 900 Charleson,Engineering,Year Round,N,CharlesonParkPumpingStation.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[490839.53986633685,5457071.970978483]}"
DFENG0501,Renfrew-Collingwood,496988.9486668850,5456129.4358365700,Bottle Filling Station location, Grandview Hwy Pumping Station,,Engineering,Year Round,N,GrandviewHwyPumpingStation.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[496988.9486668851,5456129.435836574]}"
DFENG0054,Kensington-Cedar Cottage,495451.7574725560,5454467.6083381900,Fountain location, E 30th Ave & Gladstone St,East Side corner Gladstone at E 30th Ave,Engineering,Year Round,N,gladstone_30th.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[495451.7574725566,5454467.608338197]}"
DFENG0001,Riley Park,492647.5648441500,5454781.4708657400,Fountain location, 28th & Main,Northeast corner of 28th & Main,Engineering,May-October,N,28th_main.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[492647.56484415074,5454781.470865741]}"
DFENG0013,Riley Park,492309.5114740140,5453857.4420343000,Fountain location, 37th & Ontario,Northwest corner of 37th & Ontario,Engineering,May-October,N,37th_ontario.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[492309.5114740143,5453857.442034303]}"
DFENG0022,Victoria-Fraserview,495991.6042038080,5451775.6351889900,Fountain location, Ashburn & Elliot,Northwest corner of Ashburn & Elliot,Engineering,May-October,N,ashburn_elliott.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[495991.6042038087,5451775.63518899]}"
DFENG0030,Strathcona,493643.7426772210,5458316.6069221900,Fountain location, Union & Hawks,In mini park at Union & Hawks,Engineering,Year Round,N,union_hawks.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[493643.742677221,5458316.606922198]}"
DFENG0050,Mount Pleasant,492803.3478813620,5456584.6701588900,Fountain location, 10th & Kingsway,Northwest corner of 10th & Kingsway,Engineering,May-October,Y,10th_kingsway.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[492803.3478813623,5456584.67015889]}"
DFENG0047,South Cambie,491482.7574511330,5454027.1926126000,Fountain location, 4963 Cambie St,Northwest corner of Cambie and W 35th,Engineering,Year Round,N,Cambie&W35th.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[491482.7574511333,5454027.192612602]}"
DFENG0037,Oakridge,490681.7656530930,5452959.2561898200,Fountain location, Oak & 46th,Northeast corner of Oak & 46th,Engineering,Year Round,N,oak_46th.jpg,Vancouver,"{""type"":""Point"",""coordinates"":[490681.7656530938,5452959.256189822]}"
